id,name,price,released_on,category_id
1,Settlers of Catan,29,2017-05-27 08:00:11 UTC,12
2,Red Shirt,12,2017-07-03 08:00:11 UTC,13
3,Oak Coffee Table,223,2017-06-03 08:00:11 UTC,14
4,Technodrome,27,2017-07-09 08:00:11 UTC,12
5,Oh's Cereal,3,2017-05-19 08:00:11 UTC,15
6,Game Console,299,2017-06-03 08:00:11 UTC,12
7,Video Game,29,2017-07-09 08:00:11 UTC,12
8,Lawn Chair,34,2017-04-30 08:00:11 UTC,14
9,Dog Toy Bone,2,2017-04-28 08:00:11 UTC,12
10,Heated Blanket,27,2017-05-19 08:00:11 UTC,14
11,Flux Capacitor,19,2017-05-27 08:00:11 UTC,11
12,Chocolate Pie,3,2017-06-08 08:00:11 UTC,15
13,Acoustic Guitar,1025,2017-06-18 08:00:11 UTC,11
14,Model Enterprise,27,2017-05-28 08:00:11 UTC,12
15,Agricola,45,2017-06-04 08:00:11 UTC,12
16,Stone Age,34,2017-05-06 08:00:11 UTC,12
17,7 Wonders,28,2017-06-23 08:00:11 UTC,12
18,Millennium Falcon,3597200,2017-06-27 08:00:11 UTC,11
19,Answer to Everything,42,2017-05-24 08:00:11 UTC,11
20,Box Kite,63,2017-06-07 08:00:11 UTC,12
21,1000 Piece Jigsaw Puzzle,14,2017-05-22 08:00:11 UTC,12
22,Rubber Ducky,4,2017-07-05 08:00:11 UTC,12
23,Unicorn Action Figure,8,2017-07-03 08:00:11 UTC,12
24,Rack,32,2017-05-09 08:00:11 UTC,14
25,Model Train Rails,45,2017-06-23 08:00:11 UTC,12
26,CanCan Music Record,2,2017-05-15 08:00:11 UTC,11
